Time,Intensity
2022-10-14T13:04:10Z,0
2022-10-14T13:04:20Z,0
2022-10-14T13:04:30Z,0
2022-10-14T13:04:40Z,1.072
2022-10-14T13:04:50Z,4.505
2022-10-14T13:05:00Z,12.71
2022-10-14T13:05:10Z,15.058
2022-10-14T13:05:20Z,15.55
2022-10-14T13:05:30Z,10.863
2022-10-14T13:05:40Z,12.205
2022-10-14T13:05:50Z,16.128
2022-10-14T13:06:00Z,17.995
2022-10-14T13:06:10Z,14.375
2022-10-14T13:06:20Z,11.525
2022-10-14T13:06:30Z,13.657
2022-10-14T13:06:40Z,16.991
2022-10-14T13:06:50Z,14.971
2022-10-14T13:07:00Z,14.888
2022-10-14T13:07:10Z,16.491
2022-10-14T13:07:20Z,10.841
2022-10-14T13:07:30Z,5.156
2022-10-14T13:07:40Z,6.214
2022-10-14T13:07:50Z,2.603
2022-10-14T13:08:00Z,1.241
2022-10-14T13:08:10Z,0.749
2022-10-14T13:08:20Z,0.189
2022-10-14T13:08:30Z,0.146
2022-10-14T13:08:40Z,0
2022-10-14T13:08:50Z,0.091
2022-10-14T13:09:00Z,0
2022-10-14T13:09:10Z,0
2022-10-14T13:09:20Z,0
2022-10-14T13:09:30Z,0
2022-10-14T13:09:40Z,0
2022-10-14T13:09:50Z,0
2022-10-14T13:10:00Z,0
2022-10-14T13:10:10Z,0
2022-10-14T13:10:20Z,0
2022-10-14T13:10:30Z,0
2022-10-14T13:10:40Z,0
2022-10-14T13:10:50Z,0
2022-10-14T13:11:00Z,0
2022-10-14T13:11:10Z,0
2022-10-14T13:11:20Z,0
2022-10-14T13:11:30Z,0
2022-10-14T13:11:40Z,0
2022-10-14T13:11:50Z,0
2022-10-14T13:12:00Z,0
2022-10-14T13:12:10Z,0
2022-10-14T13:12:20Z,0
2022-10-14T13:12:30Z,0
2022-10-14T13:12:40Z,0.428
2022-10-14T13:12:50Z,0.566
2022-10-14T13:13:00Z,0.351
2022-10-14T13:13:10Z,0.353
2022-10-14T13:13:20Z,0
2022-10-14T13:13:30Z,0
2022-10-14T13:13:40Z,0.214
2022-10-14T13:13:50Z,0
2022-10-14T13:14:00Z,0
2022-10-14T13:14:10Z,0
2022-10-14T13:14:20Z,0
2022-10-14T13:14:30Z,0
2022-10-14T13:14:40Z,0
2022-10-14T13:14:50Z,0
2022-10-14T13:15:00Z,0
2022-10-14T13:15:10Z,0
2022-10-14T13:15:20Z,0
2022-10-14T13:15:30Z,0
2022-10-14T13:15:40Z,0
2022-10-14T13:15:50Z,0
2022-10-14T13:16:00Z,0
2022-10-14T13:16:10Z,0
2022-10-14T13:16:20Z,0
2022-10-14T13:16:30Z,0
2022-10-14T13:16:40Z,0
2022-10-14T13:16:50Z,0
2022-10-14T13:17:00Z,0
2022-10-14T13:17:10Z,0
2022-10-14T13:17:20Z,0
2022-10-14T13:17:30Z,0
2022-10-14T13:17:40Z,0
2022-10-14T13:17:50Z,0.085
2022-10-14T13:18:00Z,0
2022-10-14T13:18:10Z,0
2022-10-14T13:18:20Z,0
2022-10-14T13:18:30Z,0
2022-10-14T13:18:40Z,0
2022-10-14T13:18:50Z,0
2022-10-14T13:19:00Z,0.495
2022-10-14T13:19:10Z,1.567
2022-10-14T13:19:20Z,1.079
2022-10-14T13:19:30Z,0.378
2022-10-14T13:19:40Z,0.809
2022-10-14T13:19:50Z,0.317
2022-10-14T13:20:00Z,0.219
2022-10-14T13:20:10Z,0.185
2022-10-14T13:20:20Z,0.07
2022-10-14T13:20:30Z,0.117
2022-10-14T13:20:40Z,0.147
2022-10-14T13:20:50Z,0.097
2022-10-14T13:21:00Z,0.127
2022-10-14T13:21:10Z,0.402
2022-10-14T13:21:20Z,0.209
2022-10-14T13:21:30Z,0.156
2022-10-14T13:21:40Z,0.245
2022-10-14T13:21:50Z,0.287
2022-10-14T13:22:00Z,0.104
2022-10-14T13:22:10Z,0.085
2022-10-14T13:22:20Z,0
2022-10-14T13:22:30Z,0
2022-10-14T13:22:40Z,0
2022-10-14T13:22:50Z,0.081
2022-10-14T13:23:00Z,0
2022-10-14T13:23:10Z,0
2022-10-14T13:23:20Z,0
2022-10-14T13:23:30Z,0
2022-10-14T13:23:40Z,0
2022-10-14T13:23:50Z,0
2022-10-14T13:24:00Z,0
2022-10-14T13:24:10Z,0
2022-10-14T13:24:20Z,0
2022-10-14T13:24:30Z,0
2022-10-14T13:24:40Z,0
2022-10-14T13:24:50Z,0
2022-10-14T13:25:00Z,0
2022-10-14T13:25:10Z,0
2022-10-14T13:25:20Z,0
2022-10-14T13:25:30Z,0
2022-10-14T13:25:40Z,0
2022-10-14T13:25:50Z,0
2022-10-14T13:26:00Z,0
2022-10-14T13:26:10Z,0
2022-10-14T13:26:20Z,0
2022-10-14T13:26:30Z,0
2022-10-14T13:26:40Z,0
2022-10-14T13:26:50Z,0
2022-10-14T13:27:00Z,0
2022-10-14T13:27:10Z,0
2022-10-14T13:27:20Z,0
2022-10-14T13:27:30Z,0
2022-10-14T13:27:40Z,0
2022-10-14T13:27:50Z,0
2022-10-14T13:28:00Z,0
2022-10-14T13:28:10Z,0
2022-10-14T13:28:20Z,0
2022-10-14T13:28:30Z,0
2022-10-14T13:28:40Z,0
2022-10-14T13:28:50Z,0
2022-10-14T13:29:00Z,0
2022-10-14T13:29:10Z,0
2022-10-14T13:29:20Z,0
2022-10-14T13:29:30Z,0
2022-10-14T13:29:40Z,0
2022-10-14T13:29:50Z,0
2022-10-14T13:30:00Z,0
2022-10-14T13:30:10Z,0
2022-10-14T13:30:20Z,0
2022-10-14T13:30:30Z,0
2022-10-14T13:30:40Z,0
2022-10-14T13:30:50Z,0
2022-10-14T13:31:00Z,0
2022-10-14T13:31:10Z,0
2022-10-14T13:31:20Z,0
2022-10-14T13:31:30Z,0
2022-10-14T13:31:40Z,0
2022-10-14T13:31:50Z,0
2022-10-14T13:32:00Z,0
2022-10-14T13:32:10Z,0
2022-10-14T13:32:20Z,0
2022-10-14T13:32:30Z,0
2022-10-14T13:32:40Z,0
2022-10-14T13:32:50Z,0
2022-10-14T13:33:00Z,0
2022-10-14T13:33:10Z,0
2022-10-14T13:33:20Z,0
2022-10-14T13:33:30Z,0
2022-10-14T13:33:40Z,0
2022-10-14T13:33:50Z,0
2022-10-14T13:34:00Z,0
2022-10-14T13:34:10Z,0
2022-10-14T13:34:20Z,0
2022-10-14T13:34:30Z,0
2022-10-14T13:34:40Z,0
2022-10-14T13:34:50Z,0
2022-10-14T13:35:00Z,0
2022-10-14T13:35:10Z,0
2022-10-14T13:35:20Z,0
2022-10-14T13:35:30Z,0
2022-10-14T13:35:40Z,0
2022-10-14T13:35:50Z,0
2022-10-14T13:36:00Z,0
2022-10-14T13:36:10Z,0
2022-10-14T13:36:20Z,0
2022-10-14T13:36:30Z,0
2022-10-14T13:36:40Z,0
2022-10-14T13:36:50Z,0
2022-10-14T13:37:00Z,0
2022-10-14T13:37:10Z,0
2022-10-14T13:37:20Z,0
2022-10-14T13:37:30Z,0.085
2022-10-14T13:37:40Z,0.12
2022-10-14T13:37:50Z,0
2022-10-14T13:38:00Z,0.245
2022-10-14T13:38:10Z,0.156
2022-10-14T13:38:20Z,0.327
2022-10-14T13:38:30Z,0.354
2022-10-14T13:38:40Z,0.591
2022-10-14T13:38:50Z,0.501
2022-10-14T13:39:00Z,0.435
2022-10-14T13:39:10Z,0.39
2022-10-14T13:39:20Z,0.943
2022-10-14T13:39:30Z,0.362
2022-10-14T13:39:40Z,0.705
2022-10-14T13:39:50Z,0.735
2022-10-14T13:40:00Z,0.489
2022-10-14T13:40:10Z,0.583
2022-10-14T13:40:20Z,0.188
2022-10-14T13:40:30Z,1.574
2022-10-14T13:40:40Z,0.171
2022-10-14T13:40:50Z,1.424
2022-10-14T13:41:00Z,4.393
2022-10-14T13:41:10Z,2.154
2022-10-14T13:41:20Z,1.661
2022-10-14T13:41:30Z,0.778
2022-10-14T13:41:40Z,0.882
2022-10-14T13:41:50Z,0.673
2022-10-14T13:42:00Z,0.452
2022-10-14T13:42:10Z,0.571
2022-10-14T13:42:20Z,1.073
2022-10-14T13:42:30Z,1.136
2022-10-14T13:42:40Z,1.835
2022-10-14T13:42:50Z,1.235
2022-10-14T13:43:00Z,1.608
2022-10-14T13:43:10Z,1.284
2022-10-14T13:43:20Z,2.368
2022-10-14T13:43:30Z,1.971
2022-10-14T13:43:40Z,1.893
2022-10-14T13:43:50Z,1.917
2022-10-14T13:44:00Z,2.784
2022-10-14T13:44:10Z,5.061
2022-10-14T13:44:20Z,6.354
2022-10-14T13:44:30Z,5.79
2022-10-14T13:44:40Z,6.097
2022-10-14T13:44:50Z,4.567
2022-10-14T13:45:00Z,3.728
2022-10-14T13:45:10Z,4.096
2022-10-14T13:45:20Z,2.885
2022-10-14T13:45:30Z,4.057
2022-10-14T13:45:40Z,11.059
2022-10-14T13:45:50Z,8.275
2022-10-14T13:46:00Z,11.278
2022-10-14T13:46:10Z,8.369
2022-10-14T13:46:20Z,2.719
2022-10-14T13:46:30Z,1.421
2022-10-14T13:46:40Z,1.424
2022-10-14T13:46:50Z,2.49
2022-10-14T13:47:00Z,2.701
2022-10-14T13:47:10Z,2.465
2022-10-14T13:47:20Z,1.671
2022-10-14T13:47:30Z,1.355
2022-10-14T13:47:40Z,1.38
2022-10-14T13:47:50Z,0.874
2022-10-14T13:48:00Z,1.353
2022-10-14T13:48:10Z,1.67
2022-10-14T13:48:20Z,1.734
2022-10-14T13:48:30Z,1.402
2022-10-14T13:48:40Z,1.672
2022-10-14T13:48:50Z,1.448
2022-10-14T13:49:00Z,1.561
2022-10-14T13:49:10Z,1.464
2022-10-14T13:49:20Z,0.345
2022-10-14T13:49:30Z,0.251
2022-10-14T13:49:40Z,0.598
2022-10-14T13:49:50Z,0.541
2022-10-14T13:50:00Z,0.601
2022-10-14T13:50:10Z,0.352
2022-10-14T13:50:20Z,0.6
2022-10-14T13:50:30Z,0.978
2022-10-14T13:50:40Z,0.644
2022-10-14T13:50:50Z,0.924
2022-10-14T13:51:00Z,0.487
2022-10-14T13:51:10Z,0.623
2022-10-14T13:51:20Z,0.614
2022-10-14T13:51:30Z,0.916
2022-10-14T13:51:40Z,0.943
2022-10-14T13:51:50Z,0.751
2022-10-14T13:52:00Z,0.298
2022-10-14T13:52:10Z,0.319
2022-10-14T13:52:20Z,0.506
2022-10-14T13:52:30Z,0.336
2022-10-14T13:52:40Z,0.157
2022-10-14T13:52:50Z,0.178
2022-10-14T13:53:00Z,0.257
2022-10-14T13:53:10Z,0.314
2022-10-14T13:53:20Z,0.192
2022-10-14T13:53:30Z,0.092
2022-10-14T13:53:40Z,0.24
2022-10-14T13:53:50Z,0.09
2022-10-14T13:54:00Z,0.181
2022-10-14T13:54:10Z,0.097
2022-10-14T13:54:20Z,0.098
2022-10-14T13:54:30Z,0
2022-10-14T13:54:40Z,0
2022-10-14T13:54:50Z,0.065
2022-10-14T13:55:00Z,0.125
2022-10-14T13:55:10Z,0
2022-10-14T13:55:20Z,0
2022-10-14T13:55:30Z,0
2022-10-14T13:55:40Z,0
2022-10-14T13:55:50Z,0
2022-10-14T13:56:00Z,0
2022-10-14T13:56:10Z,0
2022-10-14T13:56:20Z,0
2022-10-14T13:56:30Z,0
2022-10-14T13:56:40Z,0
2022-10-14T13:56:50Z,0
2022-10-14T13:57:00Z,0
2022-10-14T13:57:10Z,0
2022-10-14T13:57:20Z,0
2022-10-14T13:57:30Z,0
2022-10-14T13:57:40Z,0
2022-10-14T13:57:50Z,0
2022-10-14T13:58:00Z,0
2022-10-14T13:58:10Z,0
2022-10-14T13:58:20Z,0
2022-10-14T13:58:30Z,0
2022-10-14T13:58:40Z,0
2022-10-14T13:58:50Z,0
2022-10-14T13:59:00Z,0
2022-10-14T13:59:10Z,0
2022-10-14T13:59:20Z,0
2022-10-14T13:59:30Z,0
2022-10-14T13:59:40Z,0
2022-10-14T13:59:50Z,0
2022-10-14T14:00:00Z,0
2022-10-14T14:00:10Z,0
2022-10-14T14:00:20Z,0
2022-10-14T14:00:30Z,0
2022-10-14T14:00:40Z,0.12
2022-10-14T14:00:50Z,0
2022-10-14T14:01:00Z,0
2022-10-14T14:01:10Z,0.585
2022-10-14T14:01:20Z,0.536
2022-10-14T14:01:30Z,0.468
2022-10-14T14:01:40Z,0
2022-10-14T14:01:50Z,0.464
2022-10-14T14:02:00Z,0.188
2022-10-14T14:02:10Z,0
2022-10-14T14:02:20Z,0
2022-10-14T14:02:30Z,0
2022-10-14T14:02:40Z,0
2022-10-14T14:02:50Z,0
2022-10-14T14:03:00Z,0
2022-10-14T14:03:10Z,0
2022-10-14T14:03:20Z,0
2022-10-14T14:03:30Z,0
2022-10-14T14:03:40Z,0.091
2022-10-14T14:03:50Z,0
2022-10-14T14:04:00Z,0
2022-10-14T14:04:10Z,0
2022-10-14T14:04:20Z,0
2022-10-14T14:04:30Z,0
2022-10-14T14:04:40Z,0
2022-10-14T14:04:50Z,0
2022-10-14T14:05:00Z,0
2022-10-14T14:05:10Z,0
2022-10-14T14:05:20Z,0
2022-10-14T14:05:30Z,0
2022-10-14T14:05:40Z,0
2022-10-14T14:05:50Z,0
2022-10-14T14:06:00Z,0
2022-10-14T14:06:10Z,0
2022-10-14T14:06:20Z,0
2022-10-14T14:06:30Z,0
2022-10-14T14:06:40Z,0
2022-10-14T14:06:50Z,0
2022-10-14T14:07:00Z,0
2022-10-14T14:07:10Z,0
2022-10-14T14:07:20Z,0
2022-10-14T14:07:30Z,0
2022-10-14T14:07:40Z,0
2022-10-14T14:07:50Z,0
2022-10-14T14:08:00Z,0
2022-10-14T14:08:10Z,0
2022-10-14T14:08:20Z,0
2022-10-14T14:08:30Z,0
2022-10-14T14:08:40Z,0
2022-10-14T14:08:50Z,0
2022-10-14T14:09:00Z,0
2022-10-14T14:09:10Z,0
2022-10-14T14:09:20Z,0
2022-10-14T14:09:30Z,0
2022-10-14T14:09:40Z,0
2022-10-14T14:09:50Z,0
2022-10-14T14:10:00Z,0
2022-10-14T14:10:10Z,0
2022-10-14T14:10:20Z,0
2022-10-14T14:10:30Z,0
2022-10-14T14:10:40Z,0
2022-10-14T14:10:50Z,0
2022-10-14T14:11:00Z,0
2022-10-14T14:11:10Z,0
2022-10-14T14:11:20Z,0
2022-10-14T14:11:30Z,0
2022-10-14T14:11:40Z,0
2022-10-14T14:11:50Z,0.634
2022-10-14T14:12:00Z,0.659
2022-10-14T14:12:10Z,1.155
2022-10-14T14:12:20Z,4.704
2022-10-14T14:12:30Z,5.583
2022-10-14T14:12:40Z,4.38
2022-10-14T14:12:50Z,3.759
2022-10-14T14:13:00Z,2.919
2022-10-14T14:13:10Z,2.833
2022-10-14T14:13:20Z,1.826
2022-10-14T14:13:30Z,1.525
2022-10-14T14:13:40Z,1.977
2022-10-14T14:13:50Z,1.302
2022-10-14T14:14:00Z,0.913
2022-10-14T14:14:10Z,1.666
2022-10-14T14:14:20Z,0.766
2022-10-14T14:14:30Z,1.338
2022-10-14T14:14:40Z,1.965
2022-10-14T14:14:50Z,1.325
2022-10-14T14:15:00Z,1.449
2022-10-14T14:15:10Z,1.474
2022-10-14T14:15:20Z,1.568
2022-10-14T14:15:30Z,1.035
2022-10-14T14:15:40Z,0.688
2022-10-14T14:15:50Z,0.62
2022-10-14T14:16:00Z,1.201
2022-10-14T14:16:10Z,1.489
2022-10-14T14:16:20Z,1.142
2022-10-14T14:16:30Z,0.981
2022-10-14T14:16:40Z,1.443
2022-10-14T14:16:50Z,1.745
2022-10-14T14:17:00Z,2.121
2022-10-14T14:17:10Z,1.138
2022-10-14T14:17:20Z,1.018
2022-10-14T14:17:30Z,0.83
2022-10-14T14:17:40Z,0.741
2022-10-14T14:17:50Z,1.295
2022-10-14T14:18:00Z,0.792
2022-10-14T14:18:10Z,0.641
2022-10-14T14:18:20Z,0.802
2022-10-14T14:18:30Z,1.288
2022-10-14T14:18:40Z,2.102
2022-10-14T14:18:50Z,1.545
2022-10-14T14:19:00Z,1.075
2022-10-14T14:19:10Z,1.739
2022-10-14T14:19:20Z,1.311
2022-10-14T14:19:30Z,2.569
2022-10-14T14:19:40Z,2.593
2022-10-14T14:19:50Z,2.05
2022-10-14T14:20:00Z,0.9
2022-10-14T14:20:10Z,0.93
2022-10-14T14:20:20Z,0.556
2022-10-14T14:20:30Z,0.856
2022-10-14T14:20:40Z,0.932
2022-10-14T14:20:50Z,1.212
2022-10-14T14:21:00Z,0.538
2022-10-14T14:21:10Z,0
2022-10-14T14:21:20Z,0.607
2022-10-14T14:21:30Z,0
2022-10-14T14:21:40Z,0
2022-10-14T14:21:50Z,0
2022-10-14T14:22:00Z,0.105
2022-10-14T14:22:10Z,0
2022-10-14T14:22:20Z,0
2022-10-14T14:22:30Z,0
2022-10-14T14:22:40Z,0
2022-10-14T14:22:50Z,0.121
2022-10-14T14:23:00Z,0
2022-10-14T14:23:10Z,0
2022-10-14T14:23:20Z,0
2022-10-14T14:23:30Z,0
2022-10-14T14:23:40Z,0
2022-10-14T14:23:50Z,0
2022-10-14T14:24:00Z,0
2022-10-14T14:24:10Z,0
2022-10-14T14:24:20Z,0
2022-10-14T14:24:30Z,0
2022-10-14T14:24:40Z,0
2022-10-14T14:24:50Z,0
2022-10-14T14:25:00Z,0
2022-10-14T14:25:10Z,0
2022-10-14T14:25:20Z,0
2022-10-14T14:25:30Z,0
