Time,Intensity
2022-07-20T06:41:10Z,0
2022-07-20T06:41:20Z,0
2022-07-20T06:41:30Z,0
2022-07-20T06:41:40Z,0
2022-07-20T06:41:50Z,0
2022-07-20T06:42:00Z,0
2022-07-20T06:42:10Z,0
2022-07-20T06:42:20Z,0
2022-07-20T06:42:30Z,0
2022-07-20T06:42:40Z,0
2022-07-20T06:42:50Z,0
2022-07-20T06:43:00Z,0
2022-07-20T06:43:10Z,0
2022-07-20T06:43:20Z,0
2022-07-20T06:43:30Z,0
2022-07-20T06:43:40Z,0
2022-07-20T06:43:50Z,0
2022-07-20T06:44:00Z,0
2022-07-20T06:44:10Z,0
2022-07-20T06:44:20Z,0
2022-07-20T06:44:30Z,0
2022-07-20T06:44:40Z,0
2022-07-20T06:44:50Z,0
2022-07-20T06:45:00Z,0
2022-07-20T06:45:10Z,0
2022-07-20T06:45:20Z,0
2022-07-20T06:45:30Z,0
2022-07-20T06:45:40Z,0
2022-07-20T06:45:50Z,0
2022-07-20T06:46:00Z,0
2022-07-20T06:46:10Z,0
2022-07-20T06:46:20Z,0
2022-07-20T06:46:30Z,0
2022-07-20T06:46:40Z,0
2022-07-20T06:46:50Z,0
2022-07-20T06:47:00Z,0
2022-07-20T06:47:10Z,0
2022-07-20T06:47:20Z,0
2022-07-20T06:47:30Z,0
2022-07-20T06:47:40Z,0
2022-07-20T06:47:50Z,0
2022-07-20T06:48:00Z,0
2022-07-20T06:48:10Z,0
2022-07-20T06:48:20Z,0
2022-07-20T06:48:30Z,0
2022-07-20T06:48:40Z,0
2022-07-20T06:48:50Z,0
2022-07-20T06:49:00Z,0
2022-07-20T06:49:10Z,0
2022-07-20T06:49:20Z,0
2022-07-20T06:49:30Z,0
2022-07-20T06:49:40Z,0
2022-07-20T06:49:50Z,0
2022-07-20T06:50:00Z,0
2022-07-20T06:50:10Z,0
2022-07-20T06:50:20Z,0
2022-07-20T06:50:30Z,0
2022-07-20T06:50:40Z,0
2022-07-20T06:50:50Z,0
2022-07-20T06:51:00Z,0
2022-07-20T06:51:10Z,0
2022-07-20T06:51:20Z,0
2022-07-20T06:51:30Z,0
2022-07-20T06:51:40Z,0
2022-07-20T06:51:50Z,0
2022-07-20T06:52:00Z,0
2022-07-20T06:52:10Z,0
2022-07-20T06:52:20Z,0
2022-07-20T06:52:30Z,0
2022-07-20T06:52:40Z,0
2022-07-20T06:52:50Z,0
2022-07-20T06:53:00Z,0
2022-07-20T06:53:10Z,0
2022-07-20T06:53:20Z,0
2022-07-20T06:53:30Z,0
2022-07-20T06:53:40Z,0
2022-07-20T06:53:50Z,0
2022-07-20T06:54:00Z,0
2022-07-20T06:54:10Z,0
2022-07-20T06:54:20Z,0
2022-07-20T06:54:30Z,0
2022-07-20T06:54:40Z,0
2022-07-20T06:54:50Z,0
2022-07-20T06:55:00Z,0
2022-07-20T06:55:10Z,0
2022-07-20T06:55:20Z,0
2022-07-20T06:55:30Z,0
2022-07-20T06:55:40Z,0
2022-07-20T06:55:50Z,0
2022-07-20T06:56:00Z,0
2022-07-20T06:56:10Z,7.518
2022-07-20T06:56:20Z,0
2022-07-20T06:56:30Z,0
2022-07-20T06:56:40Z,0
2022-07-20T06:56:50Z,0
2022-07-20T06:57:00Z,10.554
2022-07-20T06:57:10Z,25.16
2022-07-20T06:57:20Z,0
2022-07-20T06:57:30Z,15.014
2022-07-20T06:57:40Z,6.665
2022-07-20T06:57:50Z,2.648
2022-07-20T06:58:00Z,4.536
2022-07-20T06:58:10Z,2.671
2022-07-20T06:58:20Z,2.35
2022-07-20T06:58:30Z,1.408
2022-07-20T06:58:40Z,0
2022-07-20T06:58:50Z,0
2022-07-20T06:59:00Z,0.889
2022-07-20T06:59:10Z,2.428
2022-07-20T06:59:20Z,3.305
2022-07-20T06:59:30Z,1.907
2022-07-20T06:59:40Z,2.707
2022-07-20T06:59:50Z,2.373
2022-07-20T07:00:00Z,3.501
2022-07-20T07:00:10Z,2.125
2022-07-20T07:00:20Z,1.177
2022-07-20T07:00:30Z,3.551
2022-07-20T07:00:40Z,2.612
2022-07-20T07:00:50Z,1.624
2022-07-20T07:01:00Z,1.733
2022-07-20T07:01:10Z,3.154
2022-07-20T07:01:20Z,1.484
2022-07-20T07:01:30Z,1.242
2022-07-20T07:01:40Z,1.403
2022-07-20T07:01:50Z,2.168
2022-07-20T07:02:00Z,2.052
2022-07-20T07:02:10Z,2.158
2022-07-20T07:02:20Z,1.743
2022-07-20T07:02:30Z,1.395
2022-07-20T07:02:40Z,1.301
2022-07-20T07:02:50Z,1.585
2022-07-20T07:03:00Z,1.285
2022-07-20T07:03:10Z,1.062
2022-07-20T07:03:20Z,1.957
2022-07-20T07:03:30Z,1.342
2022-07-20T07:03:40Z,2.157
2022-07-20T07:03:50Z,1.13
2022-07-20T07:04:00Z,1.697
2022-07-20T07:04:10Z,1.925
2022-07-20T07:04:20Z,1.836
2022-07-20T07:04:30Z,1.003
2022-07-20T07:04:40Z,1.449
2022-07-20T07:04:50Z,1.702
2022-07-20T07:05:00Z,0.798
2022-07-20T07:05:10Z,1.469
2022-07-20T07:05:20Z,1.426
2022-07-20T07:05:30Z,1.485
2022-07-20T07:05:40Z,3.261
2022-07-20T07:05:50Z,2.049
2022-07-20T07:06:00Z,2.146
2022-07-20T07:06:10Z,1.184
2022-07-20T07:06:20Z,1.034
2022-07-20T07:06:30Z,2.455
2022-07-20T07:06:40Z,2.347
2022-07-20T07:06:50Z,2.734
2022-07-20T07:07:00Z,1.755
2022-07-20T07:07:10Z,2.808
2022-07-20T07:07:20Z,2.382
2022-07-20T07:07:30Z,1.282
2022-07-20T07:07:40Z,0.945
2022-07-20T07:07:50Z,0.247
2022-07-20T07:08:00Z,2.244
2022-07-20T07:08:10Z,3.663
2022-07-20T07:08:20Z,13.298
2022-07-20T07:08:30Z,11.839
2022-07-20T07:08:40Z,10.58
2022-07-20T07:08:50Z,9.035
2022-07-20T07:09:00Z,19.171
2022-07-20T07:09:10Z,23.792
2022-07-20T07:09:20Z,32.747
2022-07-20T07:09:30Z,20.849
2022-07-20T07:09:40Z,5.771
2022-07-20T07:09:50Z,0
2022-07-20T07:10:00Z,1.256
2022-07-20T07:10:10Z,0.991
2022-07-20T07:10:20Z,0.777
2022-07-20T07:10:30Z,0.482
2022-07-20T07:10:40Z,2.021
2022-07-20T07:10:50Z,1.683
2022-07-20T07:11:00Z,1.98
2022-07-20T07:11:10Z,2.444
2022-07-20T07:11:20Z,0
2022-07-20T07:11:30Z,0
2022-07-20T07:11:40Z,0
2022-07-20T07:11:50Z,0
2022-07-20T07:12:00Z,0
2022-07-20T07:12:10Z,0
2022-07-20T07:12:20Z,0
2022-07-20T07:12:30Z,0.663
2022-07-20T07:12:40Z,0
2022-07-20T07:12:50Z,0
2022-07-20T07:13:00Z,0
2022-07-20T07:13:10Z,0
2022-07-20T07:13:20Z,0
2022-07-20T07:13:30Z,0
2022-07-20T07:13:40Z,0
2022-07-20T07:13:50Z,0
2022-07-20T07:14:00Z,0
2022-07-20T07:14:10Z,0
2022-07-20T07:14:20Z,0
2022-07-20T07:14:30Z,0
2022-07-20T07:14:40Z,0
2022-07-20T07:14:50Z,0
2022-07-20T07:15:00Z,0
2022-07-20T07:15:10Z,0
2022-07-20T07:15:20Z,0
2022-07-20T07:15:30Z,0
2022-07-20T07:15:40Z,0
2022-07-20T07:15:50Z,0
2022-07-20T07:16:00Z,0
2022-07-20T07:16:10Z,0
2022-07-20T07:16:20Z,0
2022-07-20T07:16:30Z,0
