Time,Intensity
2022-08-25T07:05:10Z,0
2022-08-25T07:05:20Z,0
2022-08-25T07:05:30Z,0
2022-08-25T07:05:40Z,0
2022-08-25T07:05:50Z,0
2022-08-25T07:06:00Z,0
2022-08-25T07:06:10Z,0
2022-08-25T07:06:20Z,0
2022-08-25T07:06:30Z,0
2022-08-25T07:06:40Z,0
2022-08-25T07:06:50Z,0
2022-08-25T07:07:00Z,0
2022-08-25T07:07:10Z,0
2022-08-25T07:07:20Z,0
2022-08-25T07:07:30Z,0
2022-08-25T07:07:40Z,0
2022-08-25T07:07:50Z,0
2022-08-25T07:08:00Z,0
2022-08-25T07:08:10Z,0
2022-08-25T07:08:20Z,0
2022-08-25T07:08:30Z,0
2022-08-25T07:08:40Z,0
2022-08-25T07:08:50Z,0
2022-08-25T07:09:00Z,0
2022-08-25T07:09:10Z,0
2022-08-25T07:09:20Z,0
2022-08-25T07:09:30Z,0
2022-08-25T07:09:40Z,0
2022-08-25T07:09:50Z,0
2022-08-25T07:10:00Z,0
2022-08-25T07:10:10Z,0
2022-08-25T07:10:20Z,0
2022-08-25T07:10:30Z,0
2022-08-25T07:10:40Z,0
2022-08-25T07:10:50Z,0
2022-08-25T07:11:00Z,0
2022-08-25T07:11:10Z,0
2022-08-25T07:11:20Z,0
2022-08-25T07:11:30Z,0
2022-08-25T07:11:40Z,0
2022-08-25T07:11:50Z,0
2022-08-25T07:12:00Z,0
2022-08-25T07:12:10Z,0
2022-08-25T07:12:20Z,0
2022-08-25T07:12:30Z,0
2022-08-25T07:12:40Z,0
2022-08-25T07:12:50Z,0
2022-08-25T07:13:00Z,0
2022-08-25T07:13:10Z,0
2022-08-25T07:13:20Z,0
2022-08-25T07:13:30Z,0
2022-08-25T07:13:40Z,0
2022-08-25T07:13:50Z,0
2022-08-25T07:14:00Z,0
2022-08-25T07:14:10Z,0
2022-08-25T07:14:20Z,0
2022-08-25T07:14:30Z,0
2022-08-25T07:14:40Z,0
2022-08-25T07:14:50Z,0
2022-08-25T07:15:00Z,0
2022-08-25T07:15:10Z,0
2022-08-25T07:15:20Z,0
2022-08-25T07:15:30Z,0
2022-08-25T07:15:40Z,0
2022-08-25T07:15:50Z,0
2022-08-25T07:16:00Z,0
2022-08-25T07:16:10Z,0
2022-08-25T07:16:20Z,0
2022-08-25T07:16:30Z,0
2022-08-25T07:16:40Z,0
2022-08-25T07:16:50Z,0
2022-08-25T07:17:00Z,0
2022-08-25T07:17:10Z,0
2022-08-25T07:17:20Z,0
2022-08-25T07:17:30Z,0
2022-08-25T07:17:40Z,0
2022-08-25T07:17:50Z,0
2022-08-25T07:18:00Z,0
2022-08-25T07:18:10Z,0
2022-08-25T07:18:20Z,0
2022-08-25T07:18:30Z,0
2022-08-25T07:18:40Z,0
2022-08-25T07:18:50Z,0
2022-08-25T07:19:00Z,0
2022-08-25T07:19:10Z,0
2022-08-25T07:19:20Z,0
2022-08-25T07:19:30Z,0
2022-08-25T07:19:40Z,0
2022-08-25T07:19:50Z,0
2022-08-25T07:20:00Z,0
2022-08-25T07:20:10Z,0
2022-08-25T07:20:20Z,0
2022-08-25T07:20:30Z,16.593
2022-08-25T07:20:40Z,0
2022-08-25T07:20:50Z,12.095
2022-08-25T07:21:00Z,19.558
2022-08-25T07:21:10Z,0
2022-08-25T07:21:20Z,7.422
2022-08-25T07:21:30Z,0
2022-08-25T07:21:40Z,0
2022-08-25T07:21:50Z,0
2022-08-25T07:22:00Z,0
2022-08-25T07:22:10Z,0
2022-08-25T07:22:20Z,0
2022-08-25T07:22:30Z,0
2022-08-25T07:22:40Z,0
2022-08-25T07:22:50Z,1.993
2022-08-25T07:23:00Z,29.598
2022-08-25T07:23:10Z,0
2022-08-25T07:23:20Z,12.452
2022-08-25T07:23:30Z,10.207
2022-08-25T07:23:40Z,28.135
2022-08-25T07:23:50Z,25.161
2022-08-25T07:24:00Z,20.741
2022-08-25T07:24:10Z,20.924
2022-08-25T07:24:20Z,13.992
2022-08-25T07:24:30Z,19.441
2022-08-25T07:24:40Z,3.352
2022-08-25T07:24:50Z,0
2022-08-25T07:25:00Z,0
2022-08-25T07:25:10Z,0
2022-08-25T07:25:20Z,0
2022-08-25T07:25:30Z,0
2022-08-25T07:25:40Z,0
2022-08-25T07:25:50Z,0
2022-08-25T07:26:00Z,0.691
2022-08-25T07:26:10Z,0
2022-08-25T07:26:20Z,0
2022-08-25T07:26:30Z,0
2022-08-25T07:26:40Z,0
2022-08-25T07:26:50Z,0
2022-08-25T07:27:00Z,0
2022-08-25T07:27:10Z,0
2022-08-25T07:27:20Z,0
2022-08-25T07:27:30Z,0.8
2022-08-25T07:27:40Z,0
2022-08-25T07:27:50Z,0.859
2022-08-25T07:28:00Z,0.734
2022-08-25T07:28:10Z,0
2022-08-25T07:28:20Z,0
2022-08-25T07:28:30Z,0
2022-08-25T07:28:40Z,0
2022-08-25T07:28:50Z,0
2022-08-25T07:29:00Z,0.403
2022-08-25T07:29:10Z,0.371
2022-08-25T07:29:20Z,0
2022-08-25T07:29:30Z,0
2022-08-25T07:29:40Z,0.464
2022-08-25T07:29:50Z,0
2022-08-25T07:30:00Z,0
2022-08-25T07:30:10Z,0
2022-08-25T07:30:20Z,0
2022-08-25T07:30:30Z,0
2022-08-25T07:30:40Z,0
2022-08-25T07:30:50Z,0
2022-08-25T07:31:00Z,0
2022-08-25T07:31:10Z,1.02
2022-08-25T07:31:20Z,0.775
2022-08-25T07:31:30Z,1.459
2022-08-25T07:31:40Z,1.917
2022-08-25T07:31:50Z,3.133
2022-08-25T07:32:00Z,1.586
2022-08-25T07:32:10Z,1.804
2022-08-25T07:32:20Z,3.998
2022-08-25T07:32:30Z,1.714
2022-08-25T07:32:40Z,1.169
2022-08-25T07:32:50Z,5.148
2022-08-25T07:33:00Z,3.718
2022-08-25T07:33:10Z,1.93
2022-08-25T07:33:20Z,4.08
2022-08-25T07:33:30Z,3.262
2022-08-25T07:33:40Z,5.02
2022-08-25T07:33:50Z,8.63
2022-08-25T07:34:00Z,10.853
2022-08-25T07:34:10Z,7.388
2022-08-25T07:34:20Z,8.536
2022-08-25T07:34:30Z,12.365
2022-08-25T07:34:40Z,9.068
2022-08-25T07:34:50Z,9.023
2022-08-25T07:35:00Z,8.667
2022-08-25T07:35:10Z,9.499
2022-08-25T07:35:20Z,7.275
2022-08-25T07:35:30Z,6.595
2022-08-25T07:35:40Z,11.709
2022-08-25T07:35:50Z,3.421
2022-08-25T07:36:00Z,7.47
2022-08-25T07:36:10Z,20.003
2022-08-25T07:36:20Z,6.441
2022-08-25T07:36:30Z,10.067
2022-08-25T07:36:40Z,13.798
2022-08-25T07:36:50Z,16.95
2022-08-25T07:37:00Z,15.961
2022-08-25T07:37:10Z,53.16
2022-08-25T07:37:20Z,74.285
2022-08-25T07:37:30Z,25.26
2022-08-25T07:37:40Z,55.404
2022-08-25T07:37:50Z,60.386
2022-08-25T07:38:00Z,54.046
2022-08-25T07:38:10Z,66.248
2022-08-25T07:38:20Z,86.373
2022-08-25T07:38:30Z,40.909
2022-08-25T07:38:40Z,85.305
2022-08-25T07:38:50Z,54.46
2022-08-25T07:39:00Z,91.042
2022-08-25T07:39:10Z,62.267
2022-08-25T07:39:20Z,111.874
2022-08-25T07:39:30Z,124.045
2022-08-25T07:39:40Z,75.634
2022-08-25T07:39:50Z,52.755
2022-08-25T07:40:00Z,70.052
2022-08-25T07:40:10Z,137.461
2022-08-25T07:40:20Z,95.745
2022-08-25T07:40:30Z,102.849
2022-08-25T07:40:40Z,59.762
2022-08-25T07:40:50Z,98.916
2022-08-25T07:41:00Z,63.663
2022-08-25T07:41:10Z,43.444
2022-08-25T07:41:20Z,65.89
2022-08-25T07:41:30Z,110.262
2022-08-25T07:41:40Z,78.624
2022-08-25T07:41:50Z,57.243
2022-08-25T07:42:00Z,33.995
2022-08-25T07:42:10Z,71.731
2022-08-25T07:42:20Z,83.613
2022-08-25T07:42:30Z,49.783
2022-08-25T07:42:40Z,106.715
2022-08-25T07:42:50Z,41.811
2022-08-25T07:43:00Z,61.867
2022-08-25T07:43:10Z,68.92
2022-08-25T07:43:20Z,87.748
2022-08-25T07:43:30Z,79.173
2022-08-25T07:43:40Z,82.257
2022-08-25T07:43:50Z,102.903
2022-08-25T07:44:00Z,86.183
2022-08-25T07:44:10Z,90.054
2022-08-25T07:44:20Z,87.368
2022-08-25T07:44:30Z,95.388
